Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0151561558	4.49978092	4.49978092	4.49978092	4.49978092	0	0	0	0	0	0	0	3
2	3	0	0.0303123116	4.4997787	4.49977981	4.4997787	4.49978092	1.10864012e-06	0	0	0	0	0	0	3
3	3	0	0.0454684674	4.49975953	4.49977305	4.49975953	4.49978092	7.86906088e-06	0	0	0	0	0	0	3
4	4	0	0.0606246232	4.49976345	4.49977065	4.49975953	4.49978092	1.02675952e-05	0	0	0	0	0	0	3
5	4	0	0.075780779	4.49975183	4.49976688	4.49975183	4.49978092	1.4031224e-05	0	0	0	0	0	0	3
6	5	0	0.0909369347	4.49976393	4.49976639	4.49975183	4.49978092	1.45234944e-05	0	0	0	0	0	0	3
7	5	0	0.106093091	4.49975697	4.49976505	4.49975183	4.49978092	1.58693651e-05	0	0	0	0	0	0	3
8	5	0	0.121249246	4.4997804	4.49976697	4.49975183	4.49978092	1.58693651e-05	0	0	0	0	0	0	3
9	6	0	0.136405402	4.49978019	4.49976844	4.49975183	4.49978092	1.58693651e-05	0	0	0	0	0	0	3
10	6	0	0.151561558	4.49979926	4.49977152	4.49975183	4.49979926	1.58693651e-05	0	0	0	0	0	0	3
11	6	0	0.166717714	4.49974852	4.49976943	4.49974852	4.49979926	1.58693651e-05	0	0	0	0	0	0	3
12	7	0	0.181873869	4.49970698	4.49976422	4.49970698	4.49979926	1.66920911e-05	0	0	0	0	0	0	3
13	7	0	0.197030025	4.49964763	4.49975525	4.49964763	4.49979926	2.56607252e-05	0	0	0	0	0	0	3
14	8	0	0.212186181	4.49958873	4.49974336	4.49958873	4.49979926	3.75552297e-05	0	0	0	0	0	0	3
15	8	0	0.227342337	4.49952263	4.49972864	4.49952263	4.49979926	5.22707406e-05	0	0	0	0	0	0	3
16	8	0	0.242498493	4.49943134	4.49971006	4.49943134	4.49979926	7.08524578e-05	0	0	0	0	0	0	3
17	9	0	0.257654648	4.49934038	4.49968832	4.49934038	4.49979926	9.259869e-05	0	0	0	0	0	0	3
18	9	0	0.272810804	4.4992582	4.49966442	4.4992582	4.49979926	0.000116493877	0	0	0	0	0	0	3
19	9	0	0.28796696	4.49917986	4.49963892	4.49917986	4.49979926	0.00014199703	0	0	0	0	0	0	3
20	10	0	0.303123116	4.49911381	4.49961266	4.49911381	4.49979926	0.000168252254	0	0	0	0	0	0	3
21	10	0	0.318279272	4.4990804	4.49958732	4.4990804	4.49979926	0.000193598339	0	0	0	0	0	0	3
22	11	0	0.333435427	4.49904888	4.49956284	4.49904888	4.49979926	0.000218072888	0	0	0	0	0	0	3
23	11	0	0.348591583	4.49900458	4.49953857	4.49900458	4.49979926	0.000242345002	0	0	0	0	0	0	3
24	11	0	0.363747739	4.49895644	4.49951432	4.49895644	4.49979926	0.000266600418	0	0	0	0	0	0	3
25	12	0	0.378903895	4.49889273	4.49948945	4.49889273	4.49979926	0.000291463945	0	0	0	0	0	0	3
26	12	0	0.394060051	4.49877462	4.49946196	4.49877462	4.49979926	0.000318957417	0	0	0	0	0	0	3
27	13	0	0.409216206	4.49860479	4.49943021	4.49860479	4.49979926	0.000350704419	0	0	0	0	0	0	3
28	13	0	0.424372362	4.49841337	4.4993939	4.49841337	4.49979926	0.000387020263	0	0	0	0	0	0	3
29	13	0	0.439528518	4.4981909	4.49935241	4.4981909	4.49979926	0.000428502886	0	0	0	0	0	0	3
30	14	0	0.454684674	4.49795727	4.49930591	4.49795727	4.49979926	0.000475007504	0	0	0	0	0	0	3
31	14	0	0.46984083	4.49760474	4.49925103	4.49760474	4.49979926	0.00052988377	0	0	0	0	0	0	3
32	15	0	0.484996985	4.49726127	4.49918885	4.49726127	4.49979926	0.000592063954	0	0	0	0	0	0	3
33	15	0	0.500153141	4.4969212	4.49912013	4.4969212	4.49979926	0.000660780735	0	0	0	0	0	0	3
34	15	0	0.515309297	4.49661667	4.49902425	4.49661667	4.49979926	0.000755558242	0	0	0	0	0	0	3
35	16	0	0.530465453	4.49634949	4.49892033	4.49634949	4.49979926	0.000852713168	0	0	0	0	0	0	3
36	16	0	0.545621608	4.49601506	4.49880686	4.49601506	4.49979926	0.000964653439	0	0	0	0	0	0	3
37	17	0	0.560777764	4.49572241	4.49868441	4.49572241	4.49979926	0.00108710928	0	0	0	0	0	0	3
38	17	0	0.57593392	4.49545851	4.49855431	4.49545851	4.49979926	0.00121720992	0	0	0	0	0	0	3
39	18	0	0.591090076	4.49525925	4.4984178	4.49525925	4.49979926	0.00135371528	0	0	0	0	0	0	3
40	18	0	0.606246232	4.49508809	4.49827632	4.49508809	4.49979926	0.00149519654	0	0	0	0	0	0	3
41	18	0	0.621402387	4.49496865	4.49813051	4.49496865	4.49979926	0.00164100711	0	0	0	0	0	0	3
42	19	0	0.636558543	4.49486551	4.49798158	4.49486551	4.49979926	0.00178993676	0	0	0	0	0	0	3
43	19	0	0.651714699	4.49479463	4.49782993	4.49479463	4.49974852	0.00193950136	0	0	0	0	0	0	3
44	20	0	0.666870855	4.49471078	4.49767727	4.49471078	4.49970698	0.00208695629	0	0	0	0	0	0	3
45	20	0	0.682027011	4.49461795	4.49752305	4.49461795	4.49964763	0.00223220075	0	0	0	0	0	0	3
46	21	0	0.697183166	4.49460328	4.49737019	4.49460328	4.49958873	0.00237316538	0	0	0	0	0	0	3
47	21	0	0.712339322	4.49462342	4.49721973	4.49460328	4.49952263	0.0025089137	0	0	0	0	0	0	3
48	21	0	0.727495478	4.49464357	4.49707188	4.49460328	4.49943134	0.00263818232	0	0	0	0	0	0	3
49	22	0	0.742651634	4.4946526	4.49692707	4.49460328	4.49934038	0.00276124616	0	0	0	0	0	0	3
50	22	0	0.75780779	4.49465605	4.49678512	4.49460328	4.4992582	0.00287930022	0	0	0	0	0	0	3
51	23	0	0.772963945	4.49464078	4.4966452	4.49460328	4.49917986	0.00299371914	0	0	0	0	0	0	3
52	23	0	0.788120101	4.49461003	4.49650672	4.49460328	4.49911381	0.00310594358	0	0	0	0	0	0	3
53	23	0	0.803276257	4.49456667	4.49636893	4.49456667	4.4990804	0.00321838961	0	0	0	0	0	0	3
54	24	0	0.818432413	4.49452515	4.49623089	4.49452515	4.49904888	0.00333195288	0	0	0	0	0	0	3
55	24	0	0.833588569	4.49449902	4.49609302	4.49449902	4.49900458	0.00344555512	0	0	0	0	0	0	3
56	25	0	0.848744724	4.49449317	4.49595631	4.49449317	4.49895644	0.00355800936	0	0	0	0	0	0	3
57	25	0	0.86390088	4.49448807	4.4958209	4.49448807	4.49889273	0.00366855098	0	0	0	0	0	0	3
58	25	0	0.879057036	4.49450287	4.49568787	4.49448807	4.49877462	0.0037740836	0	0	0	0	0	0	3
