Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0151561558	206.260867	206.260867	206.260867	206.260867	0	0	0	0	0	0	0	3
2	3	0	0.0303123116	108.43316	157.347014	108.43316	206.260867	48.9138532	0	0	0	0	0	0	3
3	3	0	0.0454684674	125.087764	146.59393	108.43316	206.260867	59.6669364	0	0	0	0	0	0	3
4	4	0	0.0606246232	89.6024751	132.346067	89.6024751	206.260867	73.9148003	0	0	0	0	0	0	3
5	4	0	0.075780779	121.716764	130.220206	89.6024751	206.260867	76.0406608	0	0	0	0	0	0	3
6	5	0	0.0909369347	93.7777537	124.146464	89.6024751	206.260867	82.1144028	0	0	0	0	0	0	3
7	5	0	0.106093091	116.437557	123.045192	89.6024751	206.260867	83.2156753	0	0	0	0	0	0	3
8	5	0	0.121249246	95.3555726	119.583989	89.6024751	206.260867	86.6768777	0	0	0	0	0	0	3
9	6	0	0.136405402	111.929516	118.733492	89.6024751	206.260867	87.5273747	0	0	0	0	0	0	3
10	6	0	0.151561558	96.9574152	116.555884	89.6024751	206.260867	89.7049824	0	0	0	0	0	0	3
11	6	0	0.166717714	106.454886	115.637612	89.6024751	206.260867	90.623255	0	0	0	0	0	0	3
12	7	0	0.181873869	98.9618469	114.247965	89.6024751	206.260867	92.0129021	0	0	0	0	0	0	3
13	7	0	0.197030025	103.067429	113.387924	89.6024751	206.260867	92.8729433	0	0	0	0	0	0	3
14	8	0	0.212186181	98.9889858	112.359428	89.6024751	206.260867	93.9014389	0	0	0	0	0	0	3
15	8	0	0.227342337	99.6299285	111.510795	89.6024751	206.260867	94.7500722	0	0	0	0	0	0	3
16	8	0	0.242498493	97.8109611	110.654555	89.6024751	206.260867	95.6063118	0	0	0	0	0	0	3
17	9	0	0.257654648	96.7567033	109.837034	89.6024751	206.260867	96.4238325	0	0	0	0	0	0	3
18	9	0	0.272810804	95.4309702	109.036698	89.6024751	206.260867	97.2241694	0	0	0	0	0	0	3
19	9	0	0.28796696	94.8992796	108.292623	89.6024751	206.260867	97.968244	0	0	0	0	0	0	3
20	10	0	0.303123116	94.1598583	107.585985	89.6024751	206.260867	98.6748822	0	0	0	0	0	0	3
21	10	0	0.318279272	93.923948	106.935412	89.6024751	206.260867	99.3254554	0	0	0	0	0	0	3
22	11	0	0.333435427	93.0736296	106.305331	89.6024751	206.260867	99.9555364	0	0	0	0	0	0	3
23	11	0	0.348591583	91.7840986	105.673973	89.6024751	206.260867	100.586894	0	0	0	0	0	0	3
24	11	0	0.363747739	91.3315854	105.076373	89.6024751	206.260867	101.184494	0	0	0	0	0	0	3
25	12	0	0.378903895	90.4264766	104.490377	89.6024751	206.260867	101.77049	0	0	0	0	0	0	3
26	12	0	0.394060051	90.1376792	103.93835	89.6024751	206.260867	102.322516	0	0	0	0	0	0	3
27	13	0	0.409216206	89.4052816	103.400089	89.4052816	206.260867	102.860778	0	0	0	0	0	0	3
28	13	0	0.424372362	89.0249489	102.886691	89.0249489	206.260867	103.374176	0	0	0	0	0	0	3
29	13	0	0.439528518	88.5309938	102.391667	88.5309938	206.260867	103.8692	0	0	0	0	0	0	3
30	14	0	0.454684674	88.3759809	101.924477	88.3759809	206.260867	104.33639	0	0	0	0	0	0	3
31	14	0	0.46984083	88.0336741	101.476387	88.0336741	206.260867	104.78448	0	0	0	0	0	0	3
32	15	0	0.484996985	87.813252	101.049414	87.813252	206.260867	105.211453	0	0	0	0	0	0	3
33	15	0	0.500153141	87.4516735	100.637361	87.4516735	206.260867	105.623506	0	0	0	0	0	0	3
34	15	0	0.515309297	87.2580156	97.0312141	87.2580156	125.087764	37.8297485	0	0	0	0	0	0	3
35	16	0	0.530465453	87.062672	96.3836235	87.062672	125.087764	38.0250921	0	0	0	0	0	0	3
36	16	0	0.545621608	86.9466335	95.2278317	86.9466335	121.716764	34.7701307	0	0	0	0	0	0	3
37	17	0	0.560777764	86.7016236	95.1399271	86.7016236	121.716764	35.0151407	0	0	0	0	0	0	3
38	17	0	0.57593392	86.4449845	94.0710853	86.4449845	116.437557	29.9925724	0	0	0	0	0	0	3
39	18	0	0.591090076	86.2850367	93.8440333	86.2850367	116.437557	29.2011584	0	0	0	0	0	0	3
40	18	0	0.606246232	86.146472	92.9261216	86.146472	111.929516	25.7830437	0	0	0	0	0	0	3
41	18	0	0.621402387	86.2124067	92.649056	86.146472	111.929516	25.7830437	0	0	0	0	0	0	3
42	19	0	0.636558543	86.1925255	91.8691472	86.146472	106.454886	20.3084139	0	0	0	0	0	0	3
43	19	0	0.651714699	86.2683639	91.5452365	86.146472	106.454886	20.3084139	0	0	0	0	0	0	3
44	20	0	0.666870855	86.2514465	90.9330111	86.146472	103.067429	16.9209574	0	0	0	0	0	0	3
45	20	0	0.682027011	86.2590925	90.5480791	86.146472	103.067429	16.9209574	0	0	0	0	0	0	3
46	21	0	0.697183166	86.3895203	90.042688	86.146472	99.6299285	13.4834565	0	0	0	0	0	0	3
47	21	0	0.712339322	86.7543961	89.6719428	86.146472	99.6299285	13.4834565	0	0	0	0	0	0	3
48	21	0	0.727495478	86.8368017	89.2842723	86.146472	97.8109611	11.6644891	0	0	0	0	0	0	3
49	22	0	0.742651634	87.0124899	88.9570459	86.146472	96.7567033	10.6102313	0	0	0	0	0	0	3
50	22	0	0.75780779	87.1682873	88.6664878	86.146472	95.4309702	9.28449819	0	0	0	0	0	0	3
51	23	0	0.772963945	87.2623133	88.4189528	86.146472	94.8992796	8.75280761	0	0	0	0	0	0	3
52	23	0	0.788120101	87.3151309	88.1891301	86.146472	94.1598583	8.01338628	0	0	0	0	0	0	3
53	23	0	0.803276257	87.3831049	87.9837739	86.146472	93.923948	7.77747599	0	0	0	0	0	0	3
54	24	0	0.818432413	87.3684546	87.7851226	86.146472	93.0736296	6.92715763	0	0	0	0	0	0	3
55	24	0	0.833588569	87.3943948	87.6130246	86.146472	91.7840986	5.6376266	0	0	0	0	0	0	3
56	25	0	0.848744724	87.4816366	87.482647	86.146472	91.3315854	5.18511335	0	0	0	0	0	0	3
57	25	0	0.86390088	87.5166367	87.3670425	86.146472	90.4264766	4.28000463	0	0	0	0	0	0	3
58	25	0	0.879057036	87.5601034	87.2801827	86.146472	90.1376792	3.99120723	0	0	0	0	0	0	3
59	26	0	0.894213192	87.6566192	87.204999	86.146472	89.4052816	3.25880963	0	0	0	0	0	0	3
60	26	0	0.909369347	87.69908	87.1532959	86.146472	89.0249489	2.8784769	0	0	0	0	0	0	3
61	27	0	0.924525503	87.7732484	87.1153656	86.146472	88.5309938	2.38452177	0	0	0	0	0	0	3
62	27	0	0.939681659	87.8708823	87.0953622	86.146472	88.3759809	2.22950887	0	0	0	0	0	0	3
63	27	0	0.954837815	88.0058071	87.0841449	86.146472	88.0336741	1.88720214	0	0	0	0	0	0	3
64	28	0	0.969993971	88.1224838	87.0868361	86.146472	88.1224838	1.97601182	0	0	0	0	0	0	3
65	28	0	0.985150126	88.4693013	87.1067163	86.146472	88.4693013	2.32282932	0	0	0	0	0	0	3
66	29	0	1.00030628	88.4621643	87.1373373	86.146472	88.4693013	2.32282932	1.16823876	0	50.2	0	0	0	3
67	29	0	1.01546244	88.6549634	87.179669	86.146472	88.6549634	2.50849136	1.16823876	0	46.5	0	0	0	3
68	29	0	1.03061859	88.7547297	87.2309435	86.146472	88.7547297	2.60825765	1.16823876	0	44.7	0	0	0	3
69	30	0	1.04577475	88.8221903	87.2877786	86.146472	88.8221903	2.67571832	1.16823876	0	43.6	0	0	0	3
70	30	0	1.06093091	88.9078746	87.3546346	86.146472	88.9078746	2.76140258	1.16823876	0	42.3	0	0	0	3
71	31	0	1.07608706	88.9335369	87.4300453	86.146472	88.9335369	2.78706492	1.16823876	0	41.9	0	0	0	3
72	31	0	1.09124322	88.8858517	87.5088579	86.146472	88.9335369	2.78706492	1.16823876	0	41.9	0	0	0	3
73	32	0	1.10639937	88.8005735	87.5892852	86.1925255	88.9335369	2.74101142	1.16823876	0	42.6	0	0	0	3
74	32	0	1.12155553	88.6492509	87.663129	86.1925255	88.9335369	2.74101142	1.16823876	0	42.6	0	0	0	3
75	32	0	1.13671168	88.5792332	87.7354535	86.2514465	88.9335369	2.68209042	1.16823876	0	43.5	0	0	0	3
76	33	0	1.15186784	88.497828	87.803013	86.2514465	88.9335369	2.68209042	1.16823876	0	43.5	0	0	0	3
77	33	0	1.167024	88.4334085	87.869133	86.2590925	88.9335369	2.67444439	1.16823876	0	43.6	0	0	0	3
78	34	0	1.18218015	88.3765778	87.9332993	86.3895203	88.9335369	2.54401658	1.16823876	0	45.9	0	0	0	3
79	34	0	1.19733631	88.2327479	87.9891546	86.7543961	88.9335369	2.17914079	1.16823876	0	53.6	0	0	0	3
80	34	0	1.21249246	88.0836368	88.0294347	86.8368017	88.9335369	2.09673523	1.16823876	0	55.7	0	0	0	3
81	35	0	1.22764862	88.0037828	88.0647977	87.0124899	88.9335369	1.87290105	1.16823876	0	62.3	0	0	0	3
82	35	0	1.24280477	87.9489746	88.093176	87.1682873	88.9335369	1.58234299	1.16823876	0	73.8	0	0	0	3
83	36	0	1.25796093	87.907337	88.1155715	87.2623133	88.9335369	1.33480793	1.16823876	0	87.5	0	0	0	3
84	36	0	1.27311709	87.9196176	88.1354898	87.3151309	88.9335369	1.10498524	1.16823876	0	100	0	0	0	3
85	36	0	1.28827324	87.8868381	88.1528143	87.3684546	88.9335369	1.06866941	1.16823876	0	100	0	0	0	3
86	37	0	1.3034294	87.8724696	88.1676435	87.3684546	88.9335369	1.08349864	1.16823876	0	100	0	0	0	3
87	37	0	1.31858555	87.7770047	88.1800238	87.3943948	88.9335369	1.09587894	1.16823876	0	100	0	0	0	3
88	38	0	1.33374171	87.8069915	88.1925267	87.4816366	88.9335369	1.10838188	1.16823876	0	100	0	0	0	3
89	38	0	1.34889787	87.8806687	88.2046186	87.5166367	88.9335369	1.12047376	1.16823876	0	100	0	0	0	3
90	38	0	1.36405402	87.9356403	88.2173157	87.5601034	88.9335369	1.13317084	1.16823876	0	100	0	0	0	3
91	39	0	1.37921018	87.9671209	88.2296496	87.6566192	88.9335369	1.1455047	1.16823876	0	100	0	0	0	3
92	39	0	1.39436633	87.9190981	88.2376035	87.69908	88.9335369	1.15345861	1.16823876	0	100	0	0	0	3
93	40	0	1.40952249	87.8571866	88.2423946	87.7732484	88.9335369	1.15824972	1.16823876	0	100	0	0	0	3
94	40	0	1.42467864	87.8408072	88.2444418	87.7770047	88.9335369	1.15653221	1.16823876	0	100	0	0	0	3
95	40	0	1.4398348	87.8592932	88.2440906	87.7770047	88.9335369	1.15653221	1.16823876	0	100	0	0	0	3
96	41	0	1.45499096	87.9419085	88.2421543	87.7770047	88.9335369	1.15653221	1.16823876	0	100	0	0	0	3
97	41	0	1.47014711	87.9370666	88.2365356	87.7770047	88.9335369	1.13772547	1.16823876	0	100	0	0	0	3
98	42	0	1.48530327	87.9347408	88.2203368	87.7770047	88.9335369	1.10710454	1.16823876	0	100	0	0	0	3
99	42	0	1.50045942	87.8055445	88.2004392	87.7770047	88.9335369	1.06477279	1.16823876	0	100	0	0	0	3
100	42	0	1.51561558	87.7005388	88.1715173	87.7005388	88.9335369	1.01349831	1.16823876	0	100	0	0	0	3
101	43	0	1.53077173	87.6014652	88.1365699	87.6014652	88.9335369	0.956663259	1.16823876	0	100	0	0	0	3
102	44	0	1.54592789	87.5864535	88.0991233	87.5864535	88.9335369	0.889807169	1.16823876	0	100	0	0	0	3
