Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0151561558	0	0	0	0	0	0	0	0	0	0	0	3
2	3	0	0.0303123116	0	0	0	0	0	0	0	0	0	0	0	3
3	3	0	0.0454684674	0	0	0	0	0	0	0	0	0	0	0	3
4	4	0	0.0606246232	0	0	0	0	0	0	0	0	0	0	0	3
5	4	0	0.075780779	0	0	0	0	0	0	0	0	0	0	0	3
6	5	0	0.0909369347	0	0	0	0	0	0	0	0	0	0	0	3
7	5	0	0.106093091	0	0	0	0	0	0	0	0	0	0	0	3
8	5	0	0.121249246	0	0	0	0	0	0	0	0	0	0	0	3
9	6	0	0.136405402	0	0	0	0	0	0	0	0	0	0	0	3
10	6	0	0.151561558	0	0	0	0	0	0	0	0	0	0	0	3
11	6	0	0.166717714	0	0	0	0	0	0	0	0	0	0	0	3
12	7	0	0.181873869	0	0	0	0	0	0	0	0	0	0	0	3
13	7	0	0.197030025	0	0	0	0	0	0	0	0	0	0	0	3
14	8	0	0.212186181	0	0	0	0	0	0	0	0	0	0	0	3
15	8	0	0.227342337	0	0	0	0	0	0	0	0	0	0	0	3
16	8	0	0.242498493	0	0	0	0	0	0	0	0	0	0	0	3
17	9	0	0.257654648	0	0	0	0	0	0	0	0	0	0	0	3
18	9	0	0.272810804	0	0	0	0	0	0	0	0	0	0	0	3
19	9	0	0.28796696	0	0	0	0	0	0	0	0	0	0	0	3
20	10	0	0.303123116	0	0	0	0	0	0	0	0	0	0	0	3
21	10	0	0.318279272	0	0	0	0	0	0	0	0	0	0	0	3
22	11	0	0.333435427	0	0	0	0	0	0	0	0	0	0	0	3
23	11	0	0.348591583	0	0	0	0	0	0	0	0	0	0	0	3
24	11	0	0.363747739	0	0	0	0	0	0	0	0	0	0	0	3
25	12	0	0.378903895	0	0	0	0	0	0	0	0	0	0	0	3
26	12	0	0.394060051	0	0	0	0	0	0	0	0	0	0	0	3
27	13	0	0.409216206	0	0	0	0	0	0	0	0	0	0	0	3
28	13	0	0.424372362	0	0	0	0	0	0	0	0	0	0	0	3
29	13	0	0.439528518	0	0	0	0	0	0	0	0	0	0	0	3
30	14	0	0.454684674	0	0	0	0	0	0	0	0	0	0	0	3
31	14	0	0.46984083	0	0	0	0	0	0	0	0	0	0	0	3
32	15	0	0.484996985	0	0	0	0	0	0	0	0	0	0	0	3
33	15	0	0.500153141	0	0	0	0	0	0	0	0	0	0	0	3
34	15	0	0.515309297	0	0	0	0	0	0	0	0	0	0	0	3
35	16	0	0.530465453	0	0	0	0	0	0	0	0	0	0	0	3
36	16	0	0.545621608	0	0	0	0	0	0	0	0	0	0	0	3
37	17	0	0.560777764	0	0	0	0	0	0	0	0	0	0	0	3
38	17	0	0.57593392	0	0	0	0	0	0	0	0	0	0	0	3
39	18	0	0.591090076	0	0	0	0	0	0	0	0	0	0	0	3
40	18	0	0.606246232	0	0	0	0	0	0	0	0	0	0	0	3
41	18	0	0.621402387	0	0	0	0	0	0	0	0	0	0	0	3
42	19	0	0.636558543	0	0	0	0	0	0	0	0	0	0	0	3
43	19	0	0.651714699	0	0	0	0	0	0	0	0	0	0	0	3
44	20	0	0.666870855	0	0	0	0	0	0	0	0	0	0	0	3
45	20	0	0.682027011	0	0	0	0	0	0	0	0	0	0	0	3
46	21	0	0.697183166	0	0	0	0	0	0	0	0	0	0	0	3
47	21	0	0.712339322	0	0	0	0	0	0	0	0	0	0	0	3
48	21	0	0.727495478	0	0	0	0	0	0	0	0	0	0	0	3
49	22	0	0.742651634	0	0	0	0	0	0	0	0	0	0	0	3
50	22	0	0.75780779	0	0	0	0	0	0	0	0	0	0	0	3
51	23	0	0.772963945	0	0	0	0	0	0	0	0	0	0	0	3
52	23	0	0.788120101	0	0	0	0	0	0	0	0	0	0	0	3
53	23	0	0.803276257	0	0	0	0	0	0	0	0	0	0	0	3
54	24	0	0.818432413	0	0	0	0	0	0	0	0	0	0	0	3
55	24	0	0.833588569	0	0	0	0	0	0	0	0	0	0	0	3
56	25	0	0.848744724	0	0	0	0	0	0	0	0	0	0	0	3
57	25	0	0.86390088	0	0	0	0	0	0	0	0	0	0	0	3
58	25	0	0.879057036	0	0	0	0	0	0	0	0	0	0	0	3
59	26	0	0.894213192	0	0	0	0	0	0	0	0	0	0	0	3
60	26	0	0.909369347	0	0	0	0	0	0	0	0	0	0	0	3
61	27	0	0.924525503	0	0	0	0	0	0	0	0	0	0	0	3
62	27	0	0.939681659	0	0	0	0	0	0	0	0	0	0	0	3
63	27	0	0.954837815	0	0	0	0	0	0	0	0	0	0	0	3
64	28	0	0.969993971	0	0	0	0	0	0	0	0	0	0	0	3
65	28	0	0.985150126	0	0	0	0	0	0	0	0	0	0	0	3
66	29	0	1.00030628	0	0	0	0	0	5e-06	0	0	0	0	0	3
67	29	0	1.01546244	0	0	0	0	0	5e-06	0	0	0	0	0	3
68	29	0	1.03061859	0	0	0	0	0	5e-06	0	0	0	0	0	3
69	30	0	1.04577475	0	0	0	0	0	5e-06	0	0	0	0	0	3
70	30	0	1.06093091	0	0	0	0	0	5e-06	0	0	0	0	0	3
71	31	0	1.07608706	0	0	0	0	0	5e-06	0	0	0	0	0	3
72	31	0	1.09124322	0	0	0	0	0	5e-06	0	0	0	0	0	3
73	32	0	1.10639937	0	0	0	0	0	5e-06	0	0	0	0	0	3
74	32	0	1.12155553	0	0	0	0	0	5e-06	0	0	0	0	0	3
75	32	0	1.13671168	0	0	0	0	0	5e-06	0	0	0	0	0	3
76	33	0	1.15186784	0	0	0	0	0	5e-06	0	0	0	0	0	3
77	33	0	1.167024	0	0	0	0	0	5e-06	0	0	0	0	0	3
78	34	0	1.18218015	0	0	0	0	0	5e-06	0	0	0	0	0	3
79	34	0	1.19733631	0	0	0	0	0	5e-06	0	0	0	0	0	3
80	34	0	1.21249246	0	0	0	0	0	5e-06	0	0	0	0	0	3
81	35	0	1.22764862	0	0	0	0	0	5e-06	0	0	0	0	0	3
82	35	0	1.24280477	0	0	0	0	0	5e-06	0	0	0	0	0	3
83	36	0	1.25796093	0	0	0	0	0	5e-06	0	0	0	0	0	3
84	36	0	1.27311709	0	0	0	0	0	5e-06	0	0	0	0	0	3
85	36	0	1.28827324	0	0	0	0	0	5e-06	0	0	0	0	0	3
86	37	0	1.3034294	0	0	0	0	0	5e-06	0	0	0	0	0	3
87	37	0	1.31858555	0	0	0	0	0	5e-06	0	0	0	0	0	3
88	38	0	1.33374171	0	0	0	0	0	5e-06	0	0	0	0	0	3
89	38	0	1.34889787	0	0	0	0	0	5e-06	0	0	0	0	0	3
90	38	0	1.36405402	0	0	0	0	0	5e-06	0	0	0	0	0	3
91	39	0	1.37921018	0	0	0	0	0	5e-06	0	0	0	0	0	3
92	39	0	1.39436633	0	0	0	0	0	5e-06	0	0	0	0	0	3
93	40	0	1.40952249	0	0	0	0	0	5e-06	0	0	0	0	0	3
94	40	0	1.42467864	0	0	0	0	0	5e-06	0	0	0	0	0	3
95	40	0	1.4398348	0	0	0	0	0	5e-06	0	0	0	0	0	3
96	41	0	1.45499096	0	0	0	0	0	5e-06	0	0	0	0	0	3
97	41	0	1.47014711	0	0	0	0	0	5e-06	0	0	0	0	0	3
98	42	0	1.48530327	0	0	0	0	0	5e-06	0	0	0	0	0	3
99	42	0	1.50045942	0	0	0	0	0	5e-06	0	0	0	0	0	3
100	42	0	1.51561558	0	0	0	0	0	5e-06	0	0	0	0	0	3
101	43	0	1.53077173	0	0	0	0	0	5e-06	0	0	0	0	0	3
102	44	0	1.54592789	0	0	0	0	0	5e-06	0	0	0	0	0	3
