Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0151561558	101324.032	101324.032	101324.032	101324.032	0	0	0	0	41916.1	0	0	3
2	3	0	0.0303123116	101320.549	101322.29	101320.549	101324.032	1.7419181	0	0	0	30961.5	0	0	3
3	3	0	0.0454684674	101322.882	101322.488	101320.549	101324.032	1.7419181	0	0	0	32720.6	0	0	3
4	4	0	0.0606246232	101321.196	101322.165	101320.549	101324.032	1.86761112	0	0	0	24399.7	0	0	3
5	4	0	0.075780779	101323.579	101322.448	101320.549	101324.032	1.86761112	0	0	0	27755.7	0	0	3
6	5	0	0.0909369347	101322.034	101322.379	101320.549	101324.032	1.86761112	0	0	0	23120.4	0	0	3
7	5	0	0.106093091	101323.993	101322.609	101320.549	101324.032	1.86761112	0	0	0	26687.8	0	0	3
8	5	0	0.121249246	101322.733	101322.625	101320.549	101324.032	1.86761112	0	0	0	23882.2	0	0	3
9	6	0	0.136405402	101324.353	101322.817	101320.549	101324.353	1.86761112	0	0	0	27614	0	0	3
10	6	0	0.151561558	101322.915	101322.827	101320.549	101324.353	1.86761112	0	0	0	24729.9	0	0	3
11	6	0	0.166717714	101324.292	101322.96	101320.549	101324.353	1.86761112	0	0	0	26682.7	0	0	3
12	7	0	0.181873869	101323.199	101322.98	101320.549	101324.353	1.86761112	0	0	0	25042.9	0	0	3
13	7	0	0.197030025	101323.657	101323.032	101320.549	101324.353	1.86761112	0	0	0	24828.7	0	0	3
14	8	0	0.212186181	101322.883	101323.021	101320.549	101324.353	1.86761112	0	0	0	24003.9	0	0	3
15	8	0	0.227342337	101322.875	101323.011	101320.549	101324.353	1.86761112	0	0	0	24117.9	0	0	3
16	8	0	0.242498493	101322.329	101322.969	101320.549	101324.353	1.86761112	0	0	0	23415.9	0	0	3
17	9	0	0.257654648	101322.082	101322.917	101320.549	101324.353	1.86761112	0	0	0	23302.2	0	0	3
18	9	0	0.272810804	101321.428	101322.834	101320.549	101324.353	1.86761112	0	0	0	22867.2	0	0	3
19	9	0	0.28796696	101321.119	101322.744	101320.549	101324.353	1.86761112	0	0	0	22946.6	0	0	3
