Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0151561558	293.2	293.2	293.2	293.2	0	0	0	0	0.0010296	0	0	3
2	3	0	0.0303123116	293.2	293.2	293.2	293.2	3.97330382e-08	0	0	0	0.00126781	0	0	3
3	3	0	0.0454684674	293.2	293.2	293.2	293.2	8.18606054e-08	0	0	0	0.00148158	0	0	3
4	4	0	0.0606246232	293.2	293.2	293.2	293.2	1.22663096e-07	0	0	0	0.00175865	0	0	3
5	4	0	0.075780779	293.2	293.2	293.2	293.2	1.6311202e-07	0	0	0	0.0019757	0	0	3
6	5	0	0.0909369347	293.2	293.2	293.2	293.2	2.11899646e-07	0	0	0	0.00224474	0	0	3
7	5	0	0.106093091	293.200001	293.2	293.2	293.200001	2.69526367e-07	0	0	0	0.00246923	0	0	3
8	5	0	0.121249246	293.200001	293.2	293.2	293.200001	3.31036858e-07	0	0	0	0.00257946	0	0	3
9	6	0	0.136405402	293.200001	293.2	293.2	293.200001	3.95048346e-07	0	0	0	0.00266331	0	0	3
10	6	0	0.151561558	293.200001	293.200001	293.2	293.200001	4.59238379e-07	0	0	0	0.00273649	0	0	3
11	6	0	0.166717714	293.200001	293.200001	293.2	293.200001	5.33468437e-07	0	0	0	0.00276586	0	0	3
12	7	0	0.181873869	293.200002	293.200001	293.2	293.200002	6.43408157e-07	0	0	0	0.00301585	0	0	3
13	7	0	0.197030025	293.200002	293.200001	293.2	293.200002	7.56206987e-07	0	0	0	0.00349628	0	0	3
14	8	0	0.212186181	293.200003	293.200001	293.2	293.200003	8.90140086e-07	0	0	0	0.0038803	0	0	3
15	8	0	0.227342337	293.200003	293.200001	293.2	293.200003	1.02951526e-06	0	0	0	0.00434475	0	0	3
16	8	0	0.242498493	293.200004	293.200001	293.2	293.200004	1.18720226e-06	0	0	0	0.00484844	0	0	3
17	9	0	0.257654648	293.200004	293.200001	293.2	293.200004	1.35104438e-06	0	0	0	0.00518232	0	0	3
